2021-12-02T14:51:36-05:00
Running /Users/haoyangwu/Desktop/cmu/coursework/2021fall/15618-Parallel Computing/15618-Lock-Free-Queue/cmake-build-debug/run_benchmark
Run on (8 X 1100 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 512 KiB (x4)
  L3 Unified 6144 KiB (x1)
Load Average: 5.87, 7.35, 14.03
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Poll<coarse_lock_queue<int>>/64/threads:1",81588,16747.6,15929.2,ns,,4.01777e+06,,,
"BM_Poll<coarse_lock_queue<int>>/64/threads:2",35618,9908.4,16537.9,ns,,3.8699e+06,,,
"BM_Poll<coarse_lock_queue<int>>/64/threads:4",31344,10162.2,32477.1,ns,,1.97062e+06,,,
"BM_Poll<coarse_lock_queue<int>>/64/threads:8",15720,6316.12,43366.5,ns,,1.47579e+06,,,
"BM_Poll<coarse_lock_queue<int>>/64/threads:16",24816,3322.11,25451.6,ns,,2.51458e+06,,,
"BM_Poll<coarse_lock_queue<int>>/64/threads:32",32000,1921.06,16078.1,ns,,3.98056e+06,,,
"BM_Poll<coarse_lock_queue<int>>/64/threads:64",65856,1265.44,10323.4,ns,,6.19949e+06,,,
"BM_Poll<coarse_lock_queue<int>>/64/threads:128",83456,648.073,8990.63,ns,,0,,,
"BM_Poll<coarse_lock_queue<int>>/64/threads:256",72960,44.6491,9227.48,ns,,0,,,
"BM_Poll<coarse_lock_queue<int>>/512/threads:1",13900,50132.2,48726.9,ns,,1.05075e+07,,,
"BM_Poll<coarse_lock_queue<int>>/512/threads:2",4924,89859.8,134859,ns,,3.79654e+06,,,
"BM_Poll<coarse_lock_queue<int>>/512/threads:4",2812,79053.1,217358,ns,,2.35556e+06,,,
"BM_Poll<coarse_lock_queue<int>>/512/threads:8",2880,45731.9,225267,ns,,2.27285e+06,,,
"BM_Poll<coarse_lock_queue<int>>/512/threads:16",4240,18188.6,143716,ns,,3.56257e+06,,,
"BM_Poll<coarse_lock_queue<int>>/512/threads:32",7616,8676.69,76280.9,ns,,6.71204e+06,,,
"BM_Poll<coarse_lock_queue<int>>/512/threads:64",13568,5741.45,47276.8,ns,,1.08298e+07,,,
"BM_Poll<coarse_lock_queue<int>>/512/threads:128",25472,2739.57,25376.7,ns,,2.0176e+07,,,
"BM_Poll<coarse_lock_queue<int>>/512/threads:256",53248,1221.01,14047,ns,,3.6449e+07,,,
"BM_Poll<coarse_lock_queue<int>>/4096/threads:1",1156,570540,516697,ns,,7.92727e+06,,,
"BM_Poll<coarse_lock_queue<int>>/4096/threads:2",838,578811,854946,ns,,4.79094e+06,,,
"BM_Poll<coarse_lock_queue<int>>/4096/threads:4",548,463709,1.37565e+06,ns,,2.97751e+06,,,
"BM_Poll<coarse_lock_queue<int>>/4096/threads:8",552,372588,1.62411e+06,ns,,2.522e+06,,,
"BM_Poll<coarse_lock_queue<int>>/4096/threads:16",528,134631,1.08663e+06,ns,,3.76946e+06,,,
"BM_Poll<coarse_lock_queue<int>>/4096/threads:32",1024,63061.2,537252,ns,,7.62398e+06,,,
"BM_Poll<coarse_lock_queue<int>>/4096/threads:64",1984,27336.7,271123,ns,,1.51075e+07,,,
"BM_Poll<coarse_lock_queue<int>>/4096/threads:128",3968,16221.2,151514,ns,,2.70338e+07,,,
"BM_Poll<coarse_lock_queue<int>>/4096/threads:256",9472,5224.76,67388.2,ns,,6.07822e+07,,,
"BM_Poll<coarse_lock_queue<int>>/8192/threads:1",419,1.50243e+06,1.33209e+06,ns,,6.14975e+06,,,
"BM_Poll<coarse_lock_queue<int>>/8192/threads:2",438,1.126e+06,1.74161e+06,ns,,4.70369e+06,,,
"BM_Poll<coarse_lock_queue<int>>/8192/threads:4",464,772829,2.34327e+06,ns,,3.49598e+06,,,
"BM_Poll<coarse_lock_queue<int>>/8192/threads:8",240,577285,3.86718e+06,ns,,2.11834e+06,,,
"BM_Poll<coarse_lock_queue<int>>/8192/threads:16",288,273167,1.89274e+06,ns,,4.32811e+06,,,
"BM_Poll<coarse_lock_queue<int>>/8192/threads:32",608,137599,1.0308e+06,ns,,7.94721e+06,,,
"BM_Poll<coarse_lock_queue<int>>/8192/threads:64",1152,65693.3,522546,ns,,1.56771e+07,,,
"BM_Poll<coarse_lock_queue<int>>/8192/threads:128",2048,20041.9,278457,ns,,2.94193e+07,,,
