2021-12-02T14:50:45-05:00
Running /Users/haoyangwu/Desktop/cmu/coursework/2021fall/15618-Parallel Computing/15618-Lock-Free-Queue/cmake-build-debug/run_benchmark
Run on (8 X 1100 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 512 KiB (x4)
  L3 Unified 6144 KiB (x1)
Load Average: 3.02, 7.24, 14.40
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Push<coarse_lock_queue<int>>/64/threads:1",179076,3821.04,3803.68,ns,,1.68258e+07,,,
"BM_Push<coarse_lock_queue<int>>/64/threads:2",104336,4761.52,7398.85,ns,,8.65e+06,,,
"BM_Push<coarse_lock_queue<int>>/64/threads:4",77340,3854.49,12234.5,ns,,5.2311e+06,,,
"BM_Push<coarse_lock_queue<int>>/64/threads:8",33200,3029.95,21264.8,ns,,3.00967e+06,,,
"BM_Push<coarse_lock_queue<int>>/64/threads:16",55856,2303.24,12876,ns,,4.9705e+06,,,
"BM_Push<coarse_lock_queue<int>>/64/threads:32",100768,837.8,6716.96,ns,,9.52811e+06,,,
"BM_Push<coarse_lock_queue<int>>/64/threads:64",190464,445.771,3711.31,ns,,1.72446e+07,,,
"BM_Push<coarse_lock_queue<int>>/64/threads:128",100883840,0.0669239,7.82047,ns,,0,,,
"BM_Push<coarse_lock_queue<int>>/64/threads:256",99655168,0.0303506,7.58486,ns,,0,,,
"BM_Push<coarse_lock_queue<int>>/512/threads:1",20848,31444.9,31306,ns,,1.63547e+07,,,
"BM_Push<coarse_lock_queue<int>>/512/threads:2",10960,43448.7,69020.5,ns,,7.41808e+06,,,
"BM_Push<coarse_lock_queue<int>>/512/threads:4",10004,37373.3,104667,ns,,4.89171e+06,,,
"BM_Push<coarse_lock_queue<int>>/512/threads:8",3568,24762,177120,ns,,2.8907e+06,,,
"BM_Push<coarse_lock_queue<int>>/512/threads:16",5984,14503.8,116075,ns,,4.41095e+06,,,
"BM_Push<coarse_lock_queue<int>>/512/threads:32",11680,7189.09,60580.2,ns,,8.4516e+06,,,
"BM_Push<coarse_lock_queue<int>>/512/threads:64",23360,3716.35,31404.3,ns,,1.63035e+07,,,
"BM_Push<coarse_lock_queue<int>>/512/threads:128",47360,1642.25,14885.1,ns,,3.43967e+07,,,
"BM_Push<coarse_lock_queue<int>>/512/threads:256",109312,532.193,6155.19,ns,,8.31819e+07,,,
"BM_Push<coarse_lock_queue<int>>/4096/threads:1",2295,248627,247705,ns,,1.65358e+07,,,
