2021-12-02T14:54:14-05:00
Running /Users/haoyangwu/Desktop/cmu/coursework/2021fall/15618-Parallel Computing/15618-Lock-Free-Queue/cmake-build-debug/run_benchmark
Run on (8 X 1100 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 512 KiB (x4)
  L3 Unified 6144 KiB (x1)
Load Average: 5.67, 7.93, 13.20
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_half_push_poll<coarse_lock_queue<int>>/64/threads:1",45022,16161.9,15966.3,ns,,4.00845e+06,,,
"BM_half_push_poll<coarse_lock_queue<int>>/64/threads:2",57376,8252.15,14948.5,ns,,4.28137e+06,,,
"BM_half_push_poll<coarse_lock_queue<int>>/64/threads:4",22088,9901.41,31607.9,ns,,2.02481e+06,,,
"BM_half_push_poll<coarse_lock_queue<int>>/64/threads:8",22944,6497.83,32759,ns,,1.95366e+06,,,
"BM_half_push_poll<coarse_lock_queue<int>>/64/threads:16",34096,2313.66,18484.4,ns,,3.46239e+06,,,
"BM_half_push_poll<coarse_lock_queue<int>>/64/threads:32",89440,1222.14,9276.53,ns,,6.89913e+06,,,
"BM_half_push_poll<coarse_lock_queue<int>>/64/threads:64",142784,574.3,4622.15,ns,,1.38464e+07,,,
"BM_half_push_poll<coarse_lock_queue<int>>/64/threads:128",100084864,0.0702813,7.88817,ns,,0,,,
"BM_half_push_poll<coarse_lock_queue<int>>/64/threads:256",92855040,0.0317018,7.88595,ns,,0,,,
"BM_half_push_poll<coarse_lock_queue<int>>/512/threads:1",6045,127551,125931,ns,,4.06573e+06,,,
"BM_half_push_poll<coarse_lock_queue<int>>/512/threads:2",8104,71490.2,129055,ns,,3.96731e+06,,,
"BM_half_push_poll<coarse_lock_queue<int>>/512/threads:4",3244,70104.7,225891,ns,,2.26657e+06,,,
"BM_half_push_poll<coarse_lock_queue<int>>/512/threads:8",2736,44271.1,254538,ns,,2.01149e+06,,,
"BM_half_push_poll<coarse_lock_queue<int>>/512/threads:16",4816,20713.5,161966,ns,,3.16116e+06,,,
"BM_half_push_poll<coarse_lock_queue<int>>/512/threads:32",9600,9954.59,80456.8,ns,,6.36367e+06,,,
"BM_half_push_poll<coarse_lock_queue<int>>/512/threads:64",19584,4666.91,38499,ns,,1.32991e+07,,,
